,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
0,44077,Bungalow in Churchtown · ★4.79 · 1 bedroom · 2 beds · 1.5 shared baths,193005,Teresa,D14,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,78,3,295,2023-05-31,1.98,2,63,55,
1,85156,Bungalow in Churchtown · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,193005,Teresa,D14,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,79,3,248,2023-05-16,1.69,2,22,52,
2,159889,Home in Dublin · ★4.75 · 1 bedroom · 1 bed · 2 shared baths,766611,Marie,D09,Dublin City,53.39027,-6.23547,Private room,50,3,390,2023-06-09,2.85,3,0,54,
3,162809,Townhouse in Dublin · ★4.84 · 2 bedrooms · 4 beds · 1.5 shared baths,777681,Robbie,A94,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,79,1,344,2023-06-03,3.52,2,7,35,
4,165828,Rental unit in Dublin · ★4.64 · 1 bedroom · 3 beds · 1 bath,790601,Grainne,D08,Dublin City,53.33744,-6.32363,Entire home/apt,378,5,75,2023-04-29,0.53,5,176,12,
5,165829,Rental unit in Dublin · ★4.70 · 1 bedroom · 3 beds · 1 bath,790601,Grainne,D08,Dublin City,53.33744,-6.32363,Entire home/apt,409,3,80,2023-04-02,0.58,5,217,11,
6,178860,Home in Dublin · ★4.88 · 1 bedroom · 1.5 shared baths,856312,Danielle,D08,Dublin City,53.33281,-6.2675,Private room,80,2,313,2021-08-19,2.39,2,0,0,
7,237465,Rental unit in Dublin · ★4.55 · 1 bedroom · 2 beds · 1.5 baths,1245198,Amanda,D13,Dublin City,53.39558,-6.17524,Entire home/apt,82,1,447,2023-06-06,3.2,3,89,91,
8,245903,Home in Lucan · ★4.93 · 1 bedroom · 1 bed · 1.5 shared baths,1289720,Sheila,K78,South Dublin,53.34636,-6.41734,Private room,30,30,44,2022-11-26,0.34,1,152,2,
9,275425,Home in Sandymount · ★5.0 · 2 bedrooms · 2 beds · 3 baths,1357428,Emma And Chris,D04,Dublin City,53.32538,-6.20701,Entire home/apt,300,3,8,2020-01-11,0.06,1,58,0,
10,292757,Home in Dublin · ★4.93 · 4 bedrooms · 5 beds · 2.5 baths,1515549,Sarah,D15,Dublin City,53.36949,-6.34889,Entire home/apt,125,2,398,2023-06-06,3.04,1,73,47,
11,302554,Rental unit in Dublin · ★4.68 · 1 bedroom · 3 beds · 1 bath,1557844,Liam And Fiona,D07,Dublin City,53.35681,-6.29094,Entire home/apt,176,2,67,2023-04-28,0.49,8,232,8,
12,302634,Rental unit in Dublin · ★4.64 · 1 bedroom · 2 beds · 1 bath,1557844,Liam And Fiona,D07,Dublin City,53.35681,-6.29094,Entire home/apt,86,2,119,2023-06-07,0.87,8,187,24,
13,333950,Townhouse in Dublin · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,1607393,Daragh,D08,Dublin City,53.342,-6.27369,Private room,105,3,246,2023-06-06,1.81,2,3,21,
14,374792,Rental unit in Dublin · ★4.47 · 1 bedroom · 3 beds · 1 bath,790601,Grainne,D08,Dublin City,53.33744,-6.32363,Entire home/apt,336,5,36,2023-01-02,0.27,5,185,2,
15,386088,Townhouse in Dublin · ★5.0 · 1 bedroom · 1 bed · 1 bath,1932497,Gareth,D06,Dublin City,53.32584,-6.26729,Entire home/apt,139,14,7,2018-06-29,0.05,1,83,0,
16,386860,Home in Dublin · ★4.67 · 2 bedrooms · 2 beds · 1 bath,1935798,Sinead,D08,Dublin City,53.3379,-6.27517,Entire home/apt,164,1,92,2019-12-13,0.7,2,0,0,
17,393631,Home in Dublin · ★4.87 · 3 bedrooms · 3 beds · 2 baths,1968168,Mick & Dee,D03,Dublin City,53.35764,-6.24171,Entire home/apt,180,3,72,2017-03-19,0.55,1,0,0,
18,419987,Rental unit in Dublin · ★4.78 · 1 bedroom · 3 beds · 1 bath,1557844,Liam And Fiona,D07,Dublin City,53.35682,-6.29132,Entire home/apt,180,2,158,2023-04-30,1.22,8,237,19,
19,424596,Loft in Dublin · ★4.85 · 1 bedroom · 1 bed · 1 bath,2110301,Karin,D01,Dublin City,53.355545,-6.258094,Entire home/apt,167,2,565,2023-05-27,4.22,4,107,71,
20,426326,Home in Dublin · ★4.61 · 3 bedrooms · 2 beds · 2 shared baths,766611,Marie,D09,Dublin City,53.39027,-6.23547,Private room,65,2,262,2023-03-19,1.96,3,19,17,
21,427077,Loft in Dublin · ★4.83 · 1 bedroom · 1 bed · 1 bath,2110301,Karin,D01,Dublin City,53.35572,-6.25803,Entire home/apt,169,2,540,2023-05-24,3.99,4,113,58,
22,427495,Home in Dublin · ★4.60 · 17 bedrooms · 1 bed · 2 shared baths,766611,Marie,D09,Dublin City,53.39027,-6.23547,Private room,60,3,187,2023-03-21,1.43,3,227,22,
23,468082,Home in Lucan · ★4.72 · 2 bedrooms · 3 beds · 2 baths,2115318,Siobhan,K78,South Dublin,53.35328,-6.45154,Private room,135,1,338,2023-05-28,2.58,3,270,77,
24,522667,Loft in Dublin · ★4.81 · 1 bedroom · 1 bed · 1 bath,2110301,Karin,D01,Dublin City,53.355545,-6.258094,Entire home/apt,167,2,470,2023-05-27,3.52,4,116,58,
25,526767,Loft in Dublin · ★4.90 · Studio · 2 beds · 1 bath,2340296,Dardo,D01,Dublin City,53.34752,-6.26393,Entire home/apt,183,3,609,2023-05-28,4.65,1,194,53,
26,575339,Rental unit in Dublin · 1 bedroom · 2 beds · 1 bath,1689834,Moris,D02,Dublin City,53.34391,-6.23845,Private room,50,1,0,,,1,0,0,
27,587218,Home in Dublin · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,2895736,James And Tom,D07,Dublin City,53.36405,-6.27351,Private room,90,2,241,2023-06-07,1.84,1,119,34,
28,592840,Home in Lucan · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,2115318,Siobhan,K78,South Dublin,53.35153,-6.45154,Private room,65,1,62,2023-04-07,0.47,3,291,22,
29,610233,Home in Smithfield · ★4.82 · 2 bedrooms · 2 beds · 2.5 baths,687547,Kate,D07,Dublin City,53.34616,-6.27228,Entire home/apt,300,2,61,2019-03-23,0.46,1,0,0,
30,637185,Rental unit in Dublin · ★4.50 · 1 bedroom · 1 bed · 1 bath,3177950,Justin,D07,Dublin City,53.34675,-6.27552,Entire home/apt,112,7,158,2018-10-13,1.22,1,0,0,
31,641880,Rental unit in Dublin · ★4.53 · 1 bedroom · 1 bed · 1 bath,3207141,Hazel,D08,Dublin City,53.34427,-6.28322,Private room,85,2,46,2016-09-19,0.43,2,0,0,
32,654589,Condo in Dublin · ★4.77 · 2 bedrooms · 3 beds · 1 bath,3244025,Garrett,D08,Dublin City,53.34493,-6.26688,Entire home/apt,274,3,582,2023-06-05,4.44,2,217,56,
33,690119,Cottage in Dundrum · ★4.90 · 2 bedrooms · 2 beds · 2 baths,3525420,Sarah,D14,Dn Laoghaire-Rathdown,53.29448,-6.24686,Entire home/apt,360,4,219,2023-06-07,1.8,1,135,7,
